HOUSEHOLD_ID,COVERED,COV_LY,PRIVATE,AGE,INCOME,POVERTY_LEVEL,MEDICAID,SEX,EDUC,WORK,GRP,ETHNICITY,YEAR,FIPS,VIRGINIA,MALE,SUP2019,HIGHER_BAC,TREAT,POOREST,WHITE,OTHER_ETHNICITY
39090,1,1,0,49,9300,3,1,1,39,0,2,4,2017,51,1,1,0,1,0,1,0,1
39101,0,2,0,43,32000,3,0,1,33,1,2,1,2017,51,1,1,0,0,0,1,1,0
39101,0,2,0,44,0,3,0,2,33,0,2,1,2017,51,1,0,0,0,0,1,1,0
39132,1,1,1,33,7601,1,0,1,43,0,2,1,2017,51,1,1,0,1,0,1,1,0
39132,1,1,1,37,15800,1,0,2,43,1,2,1,2017,51,1,0,0,1,0,1,1,0
39132,1,1,1,20,0,1,0,1,39,0,2,1,2017,51,1,1,0,1,0,1,1,0
39156,0,2,0,33,12000,1,0,1,40,1,2,4,2017,51,1,1,0,1,0,1,0,1
39156,1,1,0,33,3040,1,1,2,43,0,2,4,2017,51,1,0,0,1,0,1,0,1
39158,1,1,1,28,0,1,0,2,43,0,2,4,2017,51,1,0,0,1,0,1,0,1
39158,1,1,1,30,3000,1,0,1,43,0,2,4,2017,51,1,1,0,1,0,1,0,1
